k,l,u,v,rho,cluster,frame
156,69,3628.13,1403.01,-3.55412,26,15
157,69,3650.59,1403.3,-4.18067,26,15
157,68,3660.97,1384.36,-3.55412,26,15
158,69,3671.92,1404.19,-4.48739,26,15
159,69,3693.76,1403.04,-3.55412,26,15
160,69,3715.87,1403.57,-4.18067,26,15
160,68,3726.85,1384.35,-3.55412,26,15
161,68,3749.73,1384.54,-4.18067,26,15
161,69,3737.13,1404.14,-4.48739,26,15
162,69,3759.66,1402.99,-3.55412,26,15
163,69,3781.71,1402.82,-4.18067,26,15
162,70,3768.5,1420.65,-4.48739,26,15
163,71,3780.6,1440.2,-4.18067,26,15
162,71,3759.19,1440.07,-3.55412,26,15
161,71,3736.48,1440.83,-4.48739,26,15
161,70,3748.5,1421.29,-4.18067,26,15
160,70,3726.5,1421.08,-3.55412,26,15
159,70,3704.24,1421.65,-4.48739,26,15
160,71,3715.91,1440.19,-4.18067,26,15
159,72,3704.17,1459.18,-4.48739,26,15
160,73,3715.95,1478.46,-4.18067,26,15
159,74,3704.32,1497.84,-4.48739,26,15
159,73,3693.7,1478.28,-3.55412,26,15
158,74,3683.18,1497.54,-4.18067,26,15
157,74,3660.92,1497.51,-3.55412,26,15
158,73,3671.85,1478.81,-4.48739,26,15
158,72,3683.16,1459.22,-4.18067,26,15
157,72,3660.94,1459.19,-3.55412,26,15
157,73,3650.67,1478.55,-4.18067,26,15
156,72,3639.66,1459.18,-4.48739,26,15
156,73,3628.5,1478.32,-3.55412,26,15
156,71,3628.46,1440.1,-3.55412,26,15
156,70,3639.79,1421.52,-4.48739,26,15
157,70,3661.09,1421.1,-3.55412,26,15
158,70,3683.19,1421.09,-4.18067,26,15
158,71,3671.72,1440.18,-4.48739,26,15
159,71,3693.75,1440.1,-3.55412,26,15
159,75,3693.71,1515.35,-3.55412,26,15
160,74,3726.41,1497.16,-3.55412,26,15
161,74,3748.35,1497.3,-4.18067,26,15
161,73,3736.49,1478.23,-4.48739,26,15
162,73,3759.07,1478.26,-3.55412,26,15
162,74,3767.98,1499.21,-4.48739,26,15
162,75,3758.95,1515.44,-3.55412,26,15
162,76,3768.87,1535.46,-4.48739,26,15
162,77,3759.67,1553.72,-3.55412,26,15
161,76,3748.73,1534.2,-4.18067,26,15
161,75,3736.63,1514.76,-4.48739,26,15
160,76,3726.52,1534.33,-3.55412,26,15
161,72,3748.53,1459.28,-4.18067,26,15
160,72,3726.47,1459.17,-3.55412,26,15
162,68,3771.16,1384.74,-4.48739,26,15
156,46,3638.86,940.843,-4.48761,17,15
157,46,3661.38,940.386,-3.55433,17,15
158,47,3672.46,960.664,-4.48761,17,15
159,47,3694.62,959.288,-3.55433,17,15
159,48,3705.61,979.933,-4.48761,17,15
160,47,3716.9,959.811,-4.18089,17,15
160,48,3727.46,978.304,-3.55433,17,15
161,48,3749.74,978.76,-4.18089,17,15
162,47,3760.46,959.502,-3.55433,17,15
163,47,3783.18,959.719,-4.18089,17,15
162,48,3770.5,978.998,-4.48761,17,15
163,49,3782.1,996.521,-4.18089,17,15
162,50,3769.95,1015.93,-4.48761,17,15
163,51,3781.99,1034.77,-4.18089,17,15
162,52,3769.84,1054.09,-4.48761,17,15
163,53,3781.94,1072.82,-4.18089,17,15
162,53,3760.17,1072.58,-3.55433,17,15
161,53,3737.98,1072.97,-4.48761,17,15
161,52,3749.66,1053.67,-4.18089,17,15
160,52,3727.5,1053.69,-3.55433,17,15
159,52,3705.65,1054.11,-4.48761,17,15
160,51,3717.03,1034.73,-4.18089,17,15
159,51,3694.7,1034.59,-3.55433,17,15
158,52,3684.29,1053.67,-4.18089,17,15
158,53,3673.17,1073.03,-4.48761,17,15
157,52,3662.02,1053.63,-3.55433,17,15
158,51,3673.04,1034.79,-4.48761,17,15
157,50,3662.03,1015.48,-3.55433,17,15
158,50,3684.33,1015.64,-4.18089,17,15
